Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,8.3,22.4,34.9,32.9,1,0.4,80,100
Australia,7.8,35.5,41.1,10.8,4.7,0,80,100
Chile,7.4,14.7,40.8,35.9,0.5,0.7,80,100
China,10.4,28.3,46.5,7.2,0.9,6.8,80,100
Taiwan,6.7,23.3,48.7,19,0.3,1.9,80,100
Colombia,9.8,14.7,38.2,36.8,0,0.5,80,100
Georgia,10.2,34.8,26.3,28.6,0,0.1,80,100
India,17,26.2,26.8,25.9,0,4.1,80,100
Japan,23.5,42.6,23.9,2.7,0,7.2,80,100
South Korea,13.3,41.9,33.6,9.9,1.3,0,80,100
Mexico,17,28,31.8,23.3,0,0,80,100
New Zealand,7.3,39.7,37.3,10.9,4.8,0,80,100
Nigeria,21,28.1,33.4,17.4,0,0,80,100
Pakistan,8.6,28.3,32.1,30.3,0.3,0.4,80,100
Peru,12.7,21.2,42,21.5,1.2,1.4,80,100
Philippines,24.3,39.4,20.2,15.7,0,0.4,80,100
Poland,5.3,27.5,44.9,21.8,0,0.5,80,100
Romania,5.7,17,38,38.1,0.5,0.7,80,100
Russia,6.9,20.2,40.1,30.3,0.3,1.9,80,100
Slovenia,2,9.9,47,40.8,0.2,0.2,80,100
South Africa,21.4,24.2,28.9,23.7,0,1.8,80,100
Spain,5.9,15.8,41,36.5,0.3,0.4,80,100
Sweden,17.3,45.3,27.8,8.9,0.4,0.2,80,100
Turkey,16.1,31.3,32.3,19.2,0.2,0.9,80,100
Ukraine,7.4,21.1,42,29.5,0,0,80,100
Egypt,31,44,14,11,0,0,80,100
United States,11.2,41.8,34.9,11,1.1,0,80,100
Uruguay,11.6,17,33.8,36.8,0.5,0.3,80,100
