Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,46.3,26.3,18.2,8.6,0,0.6,80,100
Chile,46.3,33.4,14.2,5.4,0,0.8,80,100
China,2.5,6.3,25.3,59.9,0,6,80,100
India,55.8,23.4,11.6,7.1,0,2,80,100
Japan,6.4,13.1,31.6,36.4,0,12.4,80,100
South Korea,23.2,28.9,31.3,16.4,0,0.1,80,100
Mexico,67.7,19.8,8.9,3.1,0,0.5,80,100
Moldova,33.9,39.5,17.7,5.2,0,3.8,80,100
Nigeria,92.8,6.1,0.7,0.2,0,0.1,80,100
Pakistan,81.8,13.1,4.6,0.5,0,0,80,100
Peru,52.5,31.4,13.9,2.1,0,0.1,80,100
Philippines,86.8,10.6,2.3,0.3,0,0,80,100
South Africa,69.7,21.8,5.3,3.1,0,0.1,80,100
Spain,21.9,27.3,30.9,19.3,0,0.5,80,100
Sweden,10.6,24.2,42.3,22.2,0,0.7,80,100
Turkey,80.3,13.1,3.7,2.7,0.2,0,80,100
Egypt,97.3,2.5,0.1,0,0,0,80,100
United States,56.9,25.4,12.4,4.9,0,0.3,80,100
Serbia,28.7,39.1,24.4,6.2,0,1.5,80,100
