Country,Very important,Rather important,Not very important,Not at all important,NA,DK,xpos,ypos
Argentina,8.9,14.9,29.6,46.1,0,0.5,80,100
Chile,9.1,21,25.6,42,0,2.3,80,100
China,15.1,47.7,26.6,3.5,7,0.1,80,100
India,17.9,19.7,26.7,29,0,6.7,80,100
Japan,20.3,42.4,25.1,4,0,8.3,80,100
South Korea,15,36.3,38.8,9.8,0,0.1,80,100
Mexico,17.9,27.4,26.3,26.8,0,1.6,80,100
Moldova,8.1,27,43.7,18.5,0,2.7,80,100
Nigeria,27.7,23.6,27.3,20.4,0,0.9,80,100
Pakistan,5.2,8.4,39.6,43.3,0,3.4,80,100
Peru,20.6,23.1,36.6,19,0,0.7,80,100
Philippines,21.9,33.1,30,14.9,0,0.2,80,100
South Africa,20.4,29.1,27.8,21.3,0,1.5,80,100
Spain,7.3,16.7,39.6,35.3,0,1,80,100
Sweden,11.4,43.4,37.1,7.8,0,0.2,80,100
Turkey,16.3,22.5,25.2,35.1,0.9,0,80,100
Egypt,12.6,36.1,22.5,26.2,0,2.6,80,100
United States,15.7,41,35.1,7.9,0,0.3,80,100
Serbia,4.6,19.8,44.9,29.2,0,1.6,80,100
